id,artist_id,release_id,session_id,recording_id,work_id,type
3b908de4-3a83-4ca6-8175-67113803ac28,5afd4886-9286-4ec6-a5d3-f6eff731d2a5,897445de-7754-4b7d-9230-cddc69fb2594,NULL,NULL,NULL,performer
8a937076-b717-484d-81c6-5ccbbe636723,2ed0df1c-7be6-40ec-bac5-3614576f178e,NULL,NULL,a8a0fbc1-4920-4159-9179-7a73f83578cc,NULL,performer
d41e8d1a-8cc2-4a9d-b879-450f9f96b0ae,2ed0df1c-7be6-40ec-bac5-3614576f178e,NULL,NULL,63914519-c947-49c9-b4fc-35b2aca82ed4,NULL,performer
653cfc90-dd4b-4403-bab8-fac4a9c8f46e,2ed0df1c-7be6-40ec-bac5-3614576f178e,NULL,NULL,bc036641-8818-4e24-9567-c5ed78ad5522,NULL,performer
389f0647-3719-4f4a-a276-9c50b84127bc,eb177b93-eaab-4686-bf5d-303901ca3dea,NULL,NULL,0b5253bf-dca2-4d1d-a1ff-381122d85e86,NULL,performer
7b2613c8-d941-43fa-9de3-5069d21229e3,9e70a4ea-b97a-477f-a27f-b687a504956f,NULL,NULL,b43e6427-7958-47e8-a36a-377922023863,NULL,performer
239be223-986d-4733-a802-9a50776c0eef,9e70a4ea-b97a-477f-a27f-b687a504956f,NULL,NULL,cd4f7775-faa2-42e5-9aa9-9c41f9535e1e,NULL,performer
d7400a81-1764-4e78-b401-148b31468445,21726a48-04cc-4ac2-9142-38b5a3f09e74,NULL,NULL,c5a6b083-e1ac-4a15-95ae-42132fa8f1b6,NULL,performer
9cf06958-6e56-44f8-bc2e-739d065d3af4,21726a48-04cc-4ac2-9142-38b5a3f09e74,NULL,NULL,afc68c9e-b638-4b7c-a840-2d5af1efbffc,NULL,performer
c6f7e7a1-15d7-4d98-b380-4209d29de2a2,5a54a08e-71ce-4c33-8d80-379586679032,897445de-7754-4b7d-9230-cddc69fb2594,NULL,NULL,NULL,performer
44d0d1cd-191c-4f62-988e-7d5210036f41,70ac5407-6ef0-4126-ac3c-53738df65408,897445de-7754-4b7d-9230-cddc69fb2594,NULL,NULL,NULL,performer
84185e7b-cf50-495b-b335-e14ed3c3d8e7,d27566a7-059d-481e-a22f-e125e0e7f76e,897445de-7754-4b7d-9230-cddc69fb2594,NULL,NULL,NULL,composer
93565876-2cc6-44b9-b138-a7c07f2f2250,9e70a4ea-b97a-477f-a27f-b687a504956f,897445de-7754-4b7d-9230-cddc69fb2594,NULL,NULL,NULL,composer
