id,type,name,sort_as,parent_id,number,last_updated,last_updated_by
4c2f0588-2b57-4e74-a8e7-5113ce208894,Work,May Be A Price To Pay,May Be A Price To Pay,NULL,NULL,2010-10-01,testdataloader
6ef5033d-853f-45b4-b474-9dccd8b3475e,Work,Games People Play,Games People Play,NULL,NULL,2010-10-01,testdataloader
7400aa73-f340-46c0-aadd-e4087e9da5dc,Work,Time,Time,NULL,NULL,2010-10-01,testdataloader
51bbe63f-3cdc-4eb0-a878-ed00c050995c,Work,I Don't Wanna Go Home,I Don't Wanna Go Home,NULL,NULL,2010-10-01,testdataloader
b67e1fa3-845b-4eeb-bc79-628217f900c3,Work,The Gold Bug,The Gold Bug,NULL,NULL,2010-10-01,testdataloader
90bb08d9-43f5-42c8-affe-12d78baa9d45,Work,The Turn Of A Friendly Card,The Turn Of A Friendly Card,NULL,NULL,2010-10-01,testdataloader
06e53daf-525a-4dc1-95d8-faf1f5b99509,Part,The Turn Of A Friendly Card (Part One),1. The Turn Of A Friendly Card (Part One),90bb08d9-43f5-42c8-affe-12d78baa9d45,1,2010-10-01,testdataloader
44de35b0-b7b9-4c70-91fb-2f8477fd9176,Part,Snake Eyes,2. Snake Eyes,90bb08d9-43f5-42c8-affe-12d78baa9d45,2,2010-10-01,testdataloader
bb3f805e-7ffa-405f-963a-c1c1b7eb3d91,Part,The Ace Of Swords,3. The Ace Of Swords,90bb08d9-43f5-42c8-affe-12d78baa9d45,3,2010-10-01,testdataloader
ea6039c1-1da4-4cea-b113-9e157d5fc38d,Part,Nothing Left To Lose,4. Nothing Left To Lose,90bb08d9-43f5-42c8-affe-12d78baa9d45,4,2010-10-01,testdataloader
f8099974-2371-41a5-b295-49407af5b341,Part,The Turn Of A Friendly Card (Part Two),5. The Turn Of A Friendly Card (Part Two),90bb08d9-43f5-42c8-affe-12d78baa9d45,5,2010-10-01,testdataloader
